run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	5730	0105015730	1	13.229920	22.581850	30.634270	89.025642	90.339211	90.218079	mosflm-comb-latt-nocell-retry-multi-refine	9467.144531	0.000000	0.000000	43	0.002170	0.028000	0.039000	1.230000	2607	0	18	0.025836	0.050757	0.049697	-0.006376	0.032395	-0.029521	-0.030163	0.004071	0.011814	1506768256	581766080	57411	28883	79	172	79	28883
105	1	5731	0105015731	1	13.081200	22.524990	31.157810	89.174232	90.612907	90.246307	mosflm-comb-latt-nocell-retry-multi-refine	9470.830078	0.000000	0.000000	218	0.014930	-0.012000	-0.021000	1.450000	17435	0	71	-0.067710	-0.034460	-0.008523	0.019909	-0.034816	-0.019048	0.002889	-0.013591	0.028937	1506768256	590111936	57414	28884	79	173	79	28884
105	1	5790	0105015790	1	12.975060	22.479691	31.045790	89.073120	89.938477	90.864243	mosflm-comb-latt-nocell-retry-multi-refine	9471.663086	0.000000	0.000000	108	0.005760	-0.021000	0.026000	1.320000	6703	0	17	0.019497	0.070995	0.022822	0.040208	-0.014345	0.012546	0.010961	0.006458	-0.029596	1506768256	290397120	57666	28968	79	257	79	28968
105	1	5984	0105015984	1	13.060420	22.645399	31.116091	89.019630	89.724213	89.998932	mosflm-comb-latt-nocell-retry-multi-refine	9469.013672	0.000000	0.000000	121	0.009320	0.012000	0.015000	1.430000	10814	0	74	0.072916	-0.022836	-0.004953	-0.013100	-0.042153	0.001452	-0.002283	0.000182	-0.032061	1506768256	617376320	59583	29300	80	154	80	29300
105	1	6200	0105016200	1	12.999570	22.371229	30.957199	89.052811	89.235497	90.199837	mosflm-comb-latt-nocell-retry-multi-refine	9478.968750	0.000000	0.000000	84	0.002830	-0.018000	0.013000	1.480000	3218	0	4	0.015499	0.071738	0.023069	-0.035834	0.015029	-0.022107	-0.017810	-0.005127	0.026466	1506768256	152515680	61575	29718	81	263	81	29718
105	1	6887	0105016887	1	12.974420	22.779850	31.010820	89.121597	89.345512	90.247360	mosflm-comb-latt-nocell-retry-multi-refine	9462.128906	0.000000	0.000000	134	0.005340	-0.011000	-0.046000	1.880000	6153	0	19	-0.013137	0.072381	0.023018	0.042050	0.010206	-0.007431	-0.007775	0.007832	-0.030306	1506768256	215330704	67356	30779	84	147	84	30779
105	1	7155	0105017155	1	12.961000	22.631809	30.717501	89.210083	90.352341	90.088287	mosflm-comb-latt-nocell-retry-multi-refine	9473.127930	0.000000	0.000000	140	0.008640	-0.010000	-0.010000	1.400000	9894	0	31	-0.005713	-0.071480	-0.028478	0.043971	-0.004152	0.001427	-0.002565	-0.012022	0.030149	1506768384	449344416	69600	31232	85	305	85	31232
105	1	7153	0105017153	3	13.381580	22.614300	29.850019	89.222351	89.989899	90.728172	mosflm-comb-latt-nocell-retry-multi-refine	9474.743164	0.000000	0.000000	124	0.003930	-0.050000	-0.004000	1.280000	4109	0	18	0.052431	0.006548	-0.052853	0.017089	-0.039196	0.011301	-0.020428	-0.014758	-0.022077	1506768384	432677504	69594	31230	85	303	85	31230
105	1	7175	0105017175	1	12.992010	22.659300	30.669769	89.162560	89.203529	89.940331	mosflm-comb-latt-nocell-retry-multi-refine	9468.526367	0.000000	0.000000	112	0.004560	0.013000	-0.025000	1.490000	5241	0	10	-0.076231	0.008903	-0.005933	0.004978	0.043798	0.002243	0.003081	0.000832	-0.032456	1506768384	632671936	69666	31254	85	327	85	31254
105	1	7356	0105017356	1	13.088530	22.546740	30.513920	89.114380	89.106941	90.872940	mosflm-comb-latt-nocell-retry-multi-refine	9470.516602	0.000000	0.000000	34	0.004520	0.037000	0.009000	1.150000	5226	0	17	-0.058687	0.042722	0.023893	-0.028916	-0.028451	-0.017958	-0.000122	-0.016829	0.028130	1506768384	874418752	71193	31516	86	143	86	31516
